pratik,Detection Timestamp: 19:23:42.641,Recognition Timestamp: 19:23:42.641,Detection Time: 67.303 ms,Recognition Time: 0.645 ms,[CPU GHz] Before: 1.52 GHz | During Start: 1.52 GHz | Mid: 2.00 GHz | After: 2.00 GHz
Unknown,Detection Timestamp: 19:42:15.341,Recognition Timestamp: 19:42:15.341,Detection Time: 192.491 ms,Recognition Time: 0.698 ms,[CPU GHz] Before: 2.00 GHz | During Start: 2.00 GHz | Mid: 2.00 GHz | After: 2.00 GHz
yash1,Detection Timestamp: 19:42:38.671,Recognition Timestamp: 19:42:38.671,Detection Time: 2066.247 ms,Recognition Time: 11.747 ms,[CPU GHz] Before: 2.00 GHz | During Start: 2.00 GHz | Mid: 2.00 GHz | After: 2.00 GHz
pratik,Detection Timestamp: 19:42:41.017,Recognition Timestamp: 19:42:41.017,Detection Time: 2082.457 ms,Recognition Time: 30.935 ms,[CPU GHz] Before: 2.00 GHz | During Start: 2.00 GHz | Mid: 2.00 GHz | After: 2.00 GHz
pratik3,Detection Timestamp: 19:42:43.295,Recognition Timestamp: 19:42:43.295,Detection Time: 2002.939 ms,Recognition Time: 11.121 ms,[CPU GHz] Before: 1.52 GHz | During Start: 1.52 GHz | Mid: 2.00 GHz | After: 2.00 GHz
